Question,Ground truth,context
What are the primary goals of the management strategy for green turtle habitats in the Papahanaumokuakea Marine National Monument?,"The primary goals of the management strategy for green turtle habitats in the Papahanaumokuakea Marine National Monument are to ensure that nesting populations of green turtles at source beaches are stable or increasing over the life of the plan, which is 15 years. This includes the continuation of data collection to monitor nesting turtles on East Island and periodic reassessment of the distribution of nesting activity on other islands and atolls within the Northwestern Hawaiian Islands.","Marine Protected Species 
 
 
 
 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
228 
Papahanaumokuakea Marine National Monument’s Draft Management Plan (PMNM, 2008) describes a strat­
egy and three activities to manage green turtle habitat within the Monument, based upon the Recovery Plan 
for U.S. Paciﬁc Populations of the Green Turtle (Chelonia mydas; NMFS and USFWS,1998). Strategy TES-3 
of the Monument’s Draft Management Plan is to “Ensure that nesting populations of green turtles at source 
beaches are stable or increasing over the life of the plan” (the life of the plan being 15 years). The ﬁ rst activity 
planned to achieve this strategy includes the continuation of data collection to monitor nesting turtles on East 
Island, French Frigate Shoals (with the largest numbers of nesting turtles in the Monument), and the periodic 
reassessment of the distribution of nesting activity on the other islands and atolls within the NWHI (PMNM,"
How does the Draft Management Plan propose to monitor and assess the nesting populations of green turtles?,"The Draft Management Plan proposes to monitor and assess the nesting populations of green turtles by continuing data collection to monitor nesting turtles on East Island, French Frigate Shoals, and by periodically reassessing the distribution of nesting activity on the other islands and atolls within the Northwestern Hawaiian Islands (NWHI).","Marine Protected Species 
 
 
 
 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
228 
Papahanaumokuakea Marine National Monument’s Draft Management Plan (PMNM, 2008) describes a strat­
egy and three activities to manage green turtle habitat within the Monument, based upon the Recovery Plan 
for U.S. Paciﬁc Populations of the Green Turtle (Chelonia mydas; NMFS and USFWS,1998). Strategy TES-3 
of the Monument’s Draft Management Plan is to “Ensure that nesting populations of green turtles at source 
beaches are stable or increasing over the life of the plan” (the life of the plan being 15 years). The ﬁ rst activity 
planned to achieve this strategy includes the continuation of data collection to monitor nesting turtles on East 
Island, French Frigate Shoals (with the largest numbers of nesting turtles in the Monument), and the periodic 
reassessment of the distribution of nesting activity on the other islands and atolls within the NWHI (PMNM,"
What are the distinguishing physical characteristics of the short-finned pilot whale?,"The distinguishing physical characteristics of the short-finned pilot whale include a large, bulbous head with a melon that protrudes beyond the mouthline, a very short beak, and a noticeably upturned mouthline toward the eye. The dorsal fin is falcate, set forward of the midbody, broad at the base, and long relative to its height, with males having distinctly broader dorsal fins than females. The species is generally black or dark brown with a light gray throat patch, a saddle behind the dorsal fin, and a streak behind the eye. Females can reach lengths of 5.5 m and weights of 1,000 kg, while males can reach lengths of 6.1 m and weights of 3,000 kg.","Marine Protected Species 
 
 
 
 
 
 
 
 
 
 
 
 
 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
Short-ﬁnned Pilot Whale (Globicephala macrorhynchus) 
The short-ﬁnned pilot whale has a large, bulbous head in which the melon protrudes beyond the mouthline. 
The beak is very short and the mouthline is noticeably upturned toward the eye. The dorsal ﬁn is falcate, set 
forward of the midbody, broad at the base and long relative to its height. Males have distinctly broader dorsal 
ﬁns than females. The species is relatively large with females reaching lengths of 5.5 m and weights of 1,000 
kg and males reaching lengths of 6.1 m and weights of 3,000 kg. The color pattern is generally black or dark 
brown with a light gray throat patch, saddle behind the dorsal ﬁn and streak behind the eye. 
The short-ﬁ nned pilot whale is a tropical to warm-temperate species found between 50°N and 40°S. They typi­
cally occur in deep water. 
Short-ﬁnned pilot whales are seen"
In what types of environments do short-finned pilot whales typically reside?,Short-finned pilot whales typically occur in deep water.,"Marine Protected Species 
 
 
 
 
 
 
 
 
 
 
 
 
 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
Short-ﬁnned Pilot Whale (Globicephala macrorhynchus) 
The short-ﬁnned pilot whale has a large, bulbous head in which the melon protrudes beyond the mouthline. 
The beak is very short and the mouthline is noticeably upturned toward the eye. The dorsal ﬁn is falcate, set 
forward of the midbody, broad at the base and long relative to its height. Males have distinctly broader dorsal 
ﬁns than females. The species is relatively large with females reaching lengths of 5.5 m and weights of 1,000 
kg and males reaching lengths of 6.1 m and weights of 3,000 kg. The color pattern is generally black or dark 
brown with a light gray throat patch, saddle behind the dorsal ﬁn and streak behind the eye. 
The short-ﬁ nned pilot whale is a tropical to warm-temperate species found between 50°N and 40°S. They typi­
cally occur in deep water. 
Short-ﬁnned pilot whales are seen"
How do the size and weight of male and female short-finned pilot whales compare?,"Females reach lengths of 5.5 m and weights of 1,000 kg, while males reach lengths of 6.1 m and weights of 3,000 kg. Males are larger and heavier than females.","Marine Protected Species 
 
 
 
 
 
 
 
 
 
 
 
 
 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
Short-ﬁnned Pilot Whale (Globicephala macrorhynchus) 
The short-ﬁnned pilot whale has a large, bulbous head in which the melon protrudes beyond the mouthline. 
The beak is very short and the mouthline is noticeably upturned toward the eye. The dorsal ﬁn is falcate, set 
forward of the midbody, broad at the base and long relative to its height. Males have distinctly broader dorsal 
ﬁns than females. The species is relatively large with females reaching lengths of 5.5 m and weights of 1,000 
kg and males reaching lengths of 6.1 m and weights of 3,000 kg. The color pattern is generally black or dark 
brown with a light gray throat patch, saddle behind the dorsal ﬁn and streak behind the eye. 
The short-ﬁ nned pilot whale is a tropical to warm-temperate species found between 50°N and 40°S. They typi­
cally occur in deep water. 
Short-ﬁnned pilot whales are seen"
What role do environmental factors play in the incidence of diseases affecting coral populations?,"Environmental factors are related to the incidence of diseases in corals, as indicated by the research on black band disease, which examines the relationships between disease incidence and these factors.","24
Kleypas, J.A., R.A. Feely, V .J. Fabry, C. Langdon, C.L. Sabine, and L.L. Robbins      
    2006.  Impacts of ocean acidification on coral reefs and other marine calcifiers: a guide           
               for future research. Report of a workshop held 18-20 April 2005, St. Petersburg,               
               FL, sponsored by NSF, NOAA, and the U.S. Geological Survey, 88 pp. 
Kohler, K.E., and S.M. Gill    
    2006.  Coral Point Count with Excel extensions (CPCe): A Visual Basic program 
               for the determination of coral and substrate coverage using random point count      
               methodology. Computers & Geosciences 32: 1259-1269. 
Kuta, K.G., and L.L Richardson    
    2002.  Ecological aspects of black band disease in  corals: relationships between
               disease incidence and environmental factors. Coral Reefs 21:393-398. 
Lourey, M.K., D.A.J. Ryan, and I.R. Miller"
What are the predominant bacterial phyla identified in the sequence analysis of the 16S rRNA gene?,The predominant bacterial phyla identified are Gammaproteobacteria (44%) and Bacilli (34%).,"HD samples, respectively (Table 2). Sequence analysis of
the 16S rRNA gene identiﬁed the majority asGammaprote-
obacteria (44%) andBacilli (34%), the remainder compris-
ing Actinobacteria (18%) andAlphaproteobacteria (3%). At
the genus level, mostGammaproteobacteria belonged to the
genera Vibrio (21%) and Pseudoalteromonas (14%), whilst
the Bacilli were dominated by the genus Bacillus (17%).
ª 2012 Federation of European Microbiological Societies FEMS Microbiol Ecol 80 (2012) 509–520
Published by Blackwell Publishing Ltd. All rights reserved
512 B. Wilson et al.
Downloaded from https://academic.oup.com/femsec/article/80/2/509/527606 by Iowa State University Library user on 19 August 2024"
How does the distribution of Gammaproteobacteria and Bacilli compare in the analyzed samples?,"The distribution of Gammaproteobacteria is 44%, while Bacilli comprise 34% of the analyzed samples.","HD samples, respectively (Table 2). Sequence analysis of
the 16S rRNA gene identiﬁed the majority asGammaprote-
obacteria (44%) andBacilli (34%), the remainder compris-
ing Actinobacteria (18%) andAlphaproteobacteria (3%). At
the genus level, mostGammaproteobacteria belonged to the
genera Vibrio (21%) and Pseudoalteromonas (14%), whilst
the Bacilli were dominated by the genus Bacillus (17%).
ª 2012 Federation of European Microbiological Societies FEMS Microbiol Ecol 80 (2012) 509–520
Published by Blackwell Publishing Ltd. All rights reserved
512 B. Wilson et al.
Downloaded from https://academic.oup.com/femsec/article/80/2/509/527606 by Iowa State University Library user on 19 August 2024"
How does habitat destruction specifically impact seabird populations?,"Habitat destruction impacts seabird populations by affecting their breeding areas, which can lead to a decrease in overall world populations. For example, the loss of habitat in areas where over 90% of Black-footed and Laysan Albatrosses breed could significantly impact these species. Although the predicted decrease in area may not be large, the islands are critically important for breeding, making the species vulnerable. Other seabird species may also be affected by the loss of nesting habitat due to climate change.","habitat is destroyed. 
Impacts to seabirds will vary depending upon the species. Over 90% of Black-footed and Laysan Albatrosses 
breed in the Monument and the loss of habitat in this area could affect the overall world population. The largest 
breeding populations of these albatross species occur at Midway Atoll and Laysan Island which were not ana­
lyzed in the sea level rise study, but habitat loss is expected to be similar to Lisianski Island because they are 
both large islands. The predicted decrease in area would not be large, but the species remain vulnerable as 
the islands represent such a critically important breeding area. Other seabird species may also be potentially 
impacted by the loss of nesting habitat as the result of climate change. 
339"
What role do breeding areas play in the survival of vulnerable seabird species?,"Breeding areas play a critically important role in the survival of vulnerable seabird species, as they are essential for the reproduction and overall population stability of these species. The loss of habitat in these areas can significantly affect their breeding success and contribute to their vulnerability.","habitat is destroyed. 
Impacts to seabirds will vary depending upon the species. Over 90% of Black-footed and Laysan Albatrosses 
breed in the Monument and the loss of habitat in this area could affect the overall world population. The largest 
breeding populations of these albatross species occur at Midway Atoll and Laysan Island which were not ana­
lyzed in the sea level rise study, but habitat loss is expected to be similar to Lisianski Island because they are 
both large islands. The predicted decrease in area would not be large, but the species remain vulnerable as 
the islands represent such a critically important breeding area. Other seabird species may also be potentially 
impacted by the loss of nesting habitat as the result of climate change. 
339"
In what ways might climate change affect the nesting habitats of various seabird species?,"Climate change may affect the nesting habitats of various seabird species by causing habitat destruction, which can lead to a loss of critical breeding areas. This loss of habitat can impact the overall population of species such as the Black-footed and Laysan Albatrosses, as their breeding is concentrated in specific locations like the Monument, Midway Atoll, and Laysan Island. Additionally, other seabird species may also be impacted by the loss of nesting habitat due to climate change.","habitat is destroyed. 
Impacts to seabirds will vary depending upon the species. Over 90% of Black-footed and Laysan Albatrosses 
breed in the Monument and the loss of habitat in this area could affect the overall world population. The largest 
breeding populations of these albatross species occur at Midway Atoll and Laysan Island which were not ana­
lyzed in the sea level rise study, but habitat loss is expected to be similar to Lisianski Island because they are 
both large islands. The predicted decrease in area would not be large, but the species remain vulnerable as 
the islands represent such a critically important breeding area. Other seabird species may also be potentially 
impacted by the loss of nesting habitat as the result of climate change. 
339"
What are the different types of coral diseases identified in the surveys along the Saudi coast of the Red Sea?,"The different types of coral diseases identified in the surveys along the Saudi coast of the Red Sea are: white syndrome (WS), growth anomaly (GA), endolithic hypermycosis (EH), and bleached (Bl).","12
 BBD 4.5 4.8
 EH 4.5 0
Stylophora WS 27.3 7.57 (6.62)
224
225 Fig 4.  Examples of different coral diseases encountered during disease surveys along the Saudi 
226 coast of the Red Sea.  WS=white syndrome, GA=growth anomaly, EH=endolithic hypermycosis, 
227 Bl=bleached.   A) black band disease, B) Acropora WS, C) Acropora GA, D) Astreopora WS, E) 
228 Echinopora WS, F) Favites GA, G) Goniastrea WS, H) Lobophyllia WS, I) Millepora WS, J) 
229 Millepora GA, K) Millepora EH, L) Pavona EH, M) Montipora WS, N) Montipora GA, O) 
230 Pocillopora WS, P) Pocillopora SEB, Q) Porites WS, R) Porites GA, S) Porites GA, T) Porites 
231 Bl patch, U) Psammocora WS, V) Psammocora EH, W) Stylophora WS
232
233 Histopathology of coral lesions
234 Paired normal and abnormal tissues collected from 43 colonies representing 15 coral genera were 
235 examined.  This included samples from 13 Porites colonies (30% of the samples), 6 Stylophora"
What methods are used to quantify bioerosion in coral rubble?,Boring traces were quantified with point-count analysis.,"borings were quantified with point-
count analysis
Weinstein et al. 
(2014)
Area of collected coral rubble 
cross sections covered with 
macroboring traces (% surface 
area macrobored)
Trend (arrow) when not including low 
coral cover deep patch site where most 
samples were protected by coralline 
algae
43 Bioerosion"
How do the depths at which surveys are conducted vary across different locations?,"The depths at which surveys are conducted vary as follows: 

- In SW Puerto Rico, USA, surveys are conducted at depths of 30–70 meters (García-Sais, 2010) and 50–70 meters (Bejarano et al., 2014).
- In the U.S. Virgin Islands, USA, surveys are conducted at depths of 9–45 meters (Appeldoorn et al., 2016).
- In the Pacific Main Hawaiian Islands, USA, surveys are conducted at depths of 0–100 meters (Smith et al., 2012; Weinstein et al., 2014).
- In the Northwestern Hawaiian Islands (NWHI), USA, surveys are conducted at depths of 3–67 meters (Asher et al., 2017). 

Overall, the depths range from 0 to 100 meters across the different locations.","Sparisoma aurofrenatum
García-Sais (2010)
SW Puerto Rico, USA 30–70 Belt transects and roving 
surveys
Scarus iserie, Scarus taeniopterus, 
Sparisoma atomarium, Sparisoma 
aurofrenatum, Sparisoma viridee
Bejarano et al. 
(2014)
SW Puerto Rico, USA 50–70 Belt transects Scarus taeniopterus, Sparisoma 
atomariumc
Appeldoorn et al. 
(2016)
U.S. Virgin Islands, 
USA
9–45 Belt transects Scarus guacamaia, Scarus iserib, 
Scarus taeniopterus, Scarus vetula, 
Sparisoma aurofrenatum, Sparisoma 
chrysopterum, Sparisoma rubripinne, 
Sparisoma viride
Smith et al. (2012) 
and Weinstein et al. 
(2014)
Pacific Main Hawaiian 
Islands, USA
0–100 Baited remote underwater 
stereo-video system
Calotomus carolinus, Chlorurus 
perspicillatusf, Chlorurus sordidus, 
Scarinae sp., Scarus dubiusf, Scarus 
psittacus, Scarus rubroviolaceus
Asher et al. (2017)
Northwestern 
Hawaiian Islands 
(NWHI), USA
3–67 Belt transectsg None (from 2010 supplement dataset, 
39–67 m)
Fukunaga et al. 
(2016)"
Why is it important to address the identified data gaps in understanding the ecosystem?,It is important to address the identified data gaps in understanding the ecosystem in order to have a better understanding of the entire ecosystem.,"hensive assessment and monitoring along with the ability to respond in a timely manner to mitigate po-
tential negative impacts to the ecosystem.
•	 The	data	gaps	identified	in	the	report	(e.g.,	shallow-water	maps,	cetaceans,	seabirds,	deeper	habitats,	
etc.) need to be addressed in order to have a better understanding of the entire ecosystem.
•	A biogeographic assessment that integrates the MHI and NWHI would better help to explain ecosystem 
connectivity and processes. 
For questions or more information, please visit http://ccma.nos.noaa.gov/about/biogeography/ or contact:
Mark E. Monaco, Ph.D.
Biogeography Branch Chief
NOAA/NCCOS/CCMA
1305 East West Highway, N/SCI1
Silver Spring, MD 20910
Email: mark.monaco@noaa.gov
Alan M. Friedlander, Ph.D.
USGS Hawaii Cooperative Fishery Research Unit
Department of Zoology
University of Hawaii
Honolulu, HI 96822
Email: alan.friedlander@hawaii.edu"
How does integrating the MHI and NWHI contribute to our understanding of ecosystem connectivity?,Integrating the MHI and NWHI would better help to explain ecosystem connectivity and processes.,"hensive assessment and monitoring along with the ability to respond in a timely manner to mitigate po-
tential negative impacts to the ecosystem.
•	 The	data	gaps	identified	in	the	report	(e.g.,	shallow-water	maps,	cetaceans,	seabirds,	deeper	habitats,	
etc.) need to be addressed in order to have a better understanding of the entire ecosystem.
•	A biogeographic assessment that integrates the MHI and NWHI would better help to explain ecosystem 
connectivity and processes. 
For questions or more information, please visit http://ccma.nos.noaa.gov/about/biogeography/ or contact:
Mark E. Monaco, Ph.D.
Biogeography Branch Chief
NOAA/NCCOS/CCMA
1305 East West Highway, N/SCI1
Silver Spring, MD 20910
Email: mark.monaco@noaa.gov
Alan M. Friedlander, Ph.D.
USGS Hawaii Cooperative Fishery Research Unit
Department of Zoology
University of Hawaii
Honolulu, HI 96822
Email: alan.friedlander@hawaii.edu"
What trends can be observed in the nesting and basking behaviors of green turtles on Lisianski Island over the years?,"The observations indicate fluctuations in the number of turtle pits and basking green turtles on Lisianski Island from 1982 to 2007. The number of pits observed varied significantly, with a peak of 91 pits in 1984 and a low of 15 pits in 1986. The mean number of basking turtles also showed variability, with a maximum of 5.4 baskers per day in 1982. Overall, there is no consistent upward or downward trend in either the number of pits or the number of basking turtles over the years, suggesting that nesting and basking behaviors may be influenced by various factors.","Marine Protected Species 
A Marine Biogeographic Assessment of the Northwestern Hawaiian Islands 
Lisianski Island 
NMFS personnel counted turtle pits and basking green turtles on Lisianski Island during parts of the nesting 
season in some years between 1982 and 2007. Results of these counts indicate a range of 15 to 47 pits ob-
served per year, and a mean of 2.0 to 5.4 turtles basking on the island per day (Table 6.4). Figure 6.43 indi-
cates the locations of pits observed on Lisianski Island in 1982 and 1983. 
Table 6.4. Observations of pits and basking green turtles on Lisianski Island, 1982–2007. 
YEAR DATES OBSERVATIONS REFERENCE 
1982 May – Aug 23 excavation sites consisting of 47 pits Kam (1986) 
1982 8 Jul – 13 Sep Mean of 5.4 baskers/day Kam (1986) 
1983 31 May – 9 Aug 19 pits (Figure 6.43) Kam (1985) 
1984 2 Jul – 6 Aug 91 pits Alcorn et al. (1988) 
1985 17 Jun – 20 Jul 78 pits Alcorn et al. (1988) 
1986 5 – 26 Aug 15 pits Westlake and Siepmann (1988)"
What factors contribute to the tolerance of corals to bleaching events?,"The factors that contribute to the tolerance of corals to bleaching events include the role of the host, host adaptation, unexpected symbiont partners, and the variation in bleaching sensitivity across different coral species and their associated zooxanthellae.","33
754 85. Baird AH, Bhagooli R, Ralph PJ, Takahashi S. Coral bleaching: the role of the host. Trends 
755 in Ecology & Evolution. 2009;24:16–20. 
756 86. Fitt WK, Gates RD, Hoegh-Guldberg O, Bythell JC, Jatkar A, Grottoli AG, et al. Response 
757 of two species of Indo-Pacific corals, Porites cylindrica and Stylophora pistillata, to short-term 
758 thermal stress: The host does matter in determining the tolerance of corals to bleaching. Journal 
759 of Experimental Marine Biology and Ecology. 2009;373:102–10. 
760 87. Howells EJ, Abrego D, Meyer E, Kirk NL, Burt JA. Host adaptation and unexpected 
761 symbiont partners enable reef-building corals to tolerate extreme temperatures. Glob Change 
762 Biol. 2016;22:2702–14. 
763 88. Ulstrup K, Berkelmans R, Ralph P, van Oppen M. Variation in bleaching sensitivity of two 
764 coral species across a latitudinal gradient on the Great Barrier Reef: the role of zooxanthellae. 
765 Mar Ecol Prog Ser. 2006;314:135–48."
How does the relationship between coral hosts and their symbionts influence their response to thermal stress?,"The relationship between coral hosts and their symbionts influences their response to thermal stress by determining the tolerance of corals to bleaching. Different coral species and their specific symbiont partners can affect how well the corals can withstand extreme temperatures. For instance, host adaptation and the presence of unexpected symbiont partners can enable reef-building corals to tolerate higher temperatures. Additionally, variations in bleaching sensitivity among coral species can be linked to the type of zooxanthellae they harbor.","33
754 85. Baird AH, Bhagooli R, Ralph PJ, Takahashi S. Coral bleaching: the role of the host. Trends 
755 in Ecology & Evolution. 2009;24:16–20. 
756 86. Fitt WK, Gates RD, Hoegh-Guldberg O, Bythell JC, Jatkar A, Grottoli AG, et al. Response 
757 of two species of Indo-Pacific corals, Porites cylindrica and Stylophora pistillata, to short-term 
758 thermal stress: The host does matter in determining the tolerance of corals to bleaching. Journal 
759 of Experimental Marine Biology and Ecology. 2009;373:102–10. 
760 87. Howells EJ, Abrego D, Meyer E, Kirk NL, Burt JA. Host adaptation and unexpected 
761 symbiont partners enable reef-building corals to tolerate extreme temperatures. Glob Change 
762 Biol. 2016;22:2702–14. 
763 88. Ulstrup K, Berkelmans R, Ralph P, van Oppen M. Variation in bleaching sensitivity of two 
764 coral species across a latitudinal gradient on the Great Barrier Reef: the role of zooxanthellae. 
765 Mar Ecol Prog Ser. 2006;314:135–48."
How do thermal tolerances in corals influence their susceptibility to disease?,"In some coral species, thermal tolerance comes at the expense of increased disease susceptibility.","24
478 disease levels despite no bleaching occurring within transects and although heat stress was 
479 higher in this region, DHW alone was not a significant factor explaining disease prevalence. 
480 Reef corals in the northern Red Sea have extraordinarily high thermal tolerances in 
481 relation to the ambient temperatures they usually experience [24] and our study supports this. 
482 Significant bleaching is expected when the DHW value reaches 4˚C-weeks 
483 (https:/www.coralreefwatch.noaa.gov/product/5km/index_5km_dhw.php ) yet our sites in Yanbu 
484 had DHW values over 4 but no bleaching was observed.  Thermal tolerance in corals has been 
485 linked to host factors [83–87], Symbiodiniaceae partners [88–90] or resident microbial 
486 communities [91].  In some coral species, thermal tolerance comes at the expense of increased 
487 disease susceptibility [92,93] and this has also been suggested as a possible explanation for high"
What factors contribute to the observed discrepancies between DHW values and bleaching events in coral reefs?,"The observed discrepancies between DHW values and bleaching events in coral reefs can be attributed to several factors, including the extraordinarily high thermal tolerances of reef corals in the northern Red Sea, host factors, Symbiodiniaceae partners, and resident microbial communities. Additionally, it is noted that in some coral species, thermal tolerance may come at the expense of increased disease susceptibility.","24
478 disease levels despite no bleaching occurring within transects and although heat stress was 
479 higher in this region, DHW alone was not a significant factor explaining disease prevalence. 
480 Reef corals in the northern Red Sea have extraordinarily high thermal tolerances in 
481 relation to the ambient temperatures they usually experience [24] and our study supports this. 
482 Significant bleaching is expected when the DHW value reaches 4˚C-weeks 
483 (https:/www.coralreefwatch.noaa.gov/product/5km/index_5km_dhw.php ) yet our sites in Yanbu 
484 had DHW values over 4 but no bleaching was observed.  Thermal tolerance in corals has been 
485 linked to host factors [83–87], Symbiodiniaceae partners [88–90] or resident microbial 
486 communities [91].  In some coral species, thermal tolerance comes at the expense of increased 
487 disease susceptibility [92,93] and this has also been suggested as a possible explanation for high"
How does latitude influence growth rates in coral habitats?,Latitude influences growth rates in coral habitats by causing a measured latitudinal decrease in growth rates as latitude increases.,"with increasing latitude, resulting in the measured latitudinal decrease in growth rates in these habitats. 
The growth rates reported by Grigg (1982) may also be an under-estimate at Kure Atoll because of selec­
tive sampling. In his assessment of coral growth rate throughout the NWHI, Grigg (1982) sampled Porites 
lobata exclusively in 10 m depth from exposed southwest areas. Inspection of Porites’ growth rates in three 
habitats at Kure atoll (Table 4.6, from Siciliano, 2005) reveals that the fore reef has the lowest growth rate"
In what ways do different habitats affect the growth rates of coral species like Porites lobata?,"Different habitats affect the growth rates of coral species like Porites lobata by exhibiting varying growth rates depending on the specific conditions of each habitat. For instance, at Kure Atoll, the fore reef has the lowest growth rate compared to other habitats. Additionally, the growth rates may be influenced by factors such as depth and exposure, as indicated by Grigg's selective sampling of Porites lobata exclusively in 10 m depth from exposed southwest areas.","with increasing latitude, resulting in the measured latitudinal decrease in growth rates in these habitats. 
The growth rates reported by Grigg (1982) may also be an under-estimate at Kure Atoll because of selec­
tive sampling. In his assessment of coral growth rate throughout the NWHI, Grigg (1982) sampled Porites 
lobata exclusively in 10 m depth from exposed southwest areas. Inspection of Porites’ growth rates in three 
habitats at Kure atoll (Table 4.6, from Siciliano, 2005) reveals that the fore reef has the lowest growth rate"
How do oceanographic conditions influence fish diversity in different regions?,"Oceanographic conditions, such as water temperature, influence fish diversity by affecting the survival of shallow-water fish species. In the NWHI, winter water temperatures can be as much as 7ºC cooler than in the MHI, which means that many shallow-water fish species adapted to warmer waters cannot survive there. Conversely, some species that are adapted to cooler water can be found in deeper waters at the southern end of the archipelago. This results in lower reef fish diversity in the NWHI compared to the MHI.","ing to oceanographic conditions (e.g., water temperature), habitat (e.g., coral and reef type) and anthropogenic 
inﬂuences (e.g., effects of ﬁshing in the MHI). 
There are a variety of environmental and 
other reasons for lower reef ﬁ sh diversi-
ty in the NWHI versus MHI. Many shal-
low-water ﬁsh species that are adapted 
to warmer water cannot survive in the 
NWHI since winter water temperatures 
can be as much as 7ºC cooler than the 
MHI (Mundy, 2005). Some shallow-wa-
ter species are adapted to cooler water 
and can be found in deeper waters at 
the southern end of the archipelago. 
This phenomenon known as tropical 
submergence is exempliﬁ ed by species 
such as the yellowﬁ n soldierﬁ sh (Myripristis chryseres), the endemic Hawaiian grouper (Epinephelus quernus), 
and the masked angel ﬁ sh (Genicanthus personatus), all of which occur in shallow water at Midway but are"
In what ways does temperature variation affect the distribution of shallow-water fish species?,"Temperature variation affects the distribution of shallow-water fish species by influencing their survival. Species adapted to warmer water cannot survive in cooler conditions, such as those found in the NWHI, where winter water temperatures can be as much as 7ºC cooler than in the MHI. Conversely, some shallow-water species that are adapted to cooler water can be found in deeper waters at the southern end of the archipelago. This phenomenon is illustrated by species like the yellowfin soldierfish, the endemic Hawaiian grouper, and the masked angelfish, which occur in shallow water at Midway.","ing to oceanographic conditions (e.g., water temperature), habitat (e.g., coral and reef type) and anthropogenic 
inﬂuences (e.g., effects of ﬁshing in the MHI). 
There are a variety of environmental and 
other reasons for lower reef ﬁ sh diversi-
ty in the NWHI versus MHI. Many shal-
low-water ﬁsh species that are adapted 
to warmer water cannot survive in the 
NWHI since winter water temperatures 
can be as much as 7ºC cooler than the 
MHI (Mundy, 2005). Some shallow-wa-
ter species are adapted to cooler water 
and can be found in deeper waters at 
the southern end of the archipelago. 
This phenomenon known as tropical 
submergence is exempliﬁ ed by species 
such as the yellowﬁ n soldierﬁ sh (Myripristis chryseres), the endemic Hawaiian grouper (Epinephelus quernus), 
and the masked angel ﬁ sh (Genicanthus personatus), all of which occur in shallow water at Midway but are"
How do the carbon and nitrogen isotope signatures of different fish groups reflect their dietary habits?,"The carbon and nitrogen isotope signatures of different fish groups indicate their dietary habits by showing the sources of their food. Benthic Predators exhibit a range of approximately 3‰ in both C and N isotope signatures, with some, like the blacktail wrasse, having 15N values greater than 10, suggesting they feed 2.5 to 3.0 trophic levels above primary producers. The whitesaddle goatfish and Hawaiian hogfish have the most enriched 13C values among Benthic Predators, indicating a diet that includes more benthic production. In contrast, Pelagic Predators have relatively depleted 13C values, suggesting a significant contribution from phytoplankton to their diet, while their average 15N values of 9.3‰ are similar to those of Benthic Predators, reflecting comparable trophic levels.","a signiﬁcant portion of benthic produc­
tion was also utilized by this group. In 
contrast, the Corallivore had a more en­
riched C isotope signature, consistent 
with a greater contribution of coral and 
benthic algae to its food web. 
Fish designated as Benthic Predators 
exhibited approximately a 3‰ range 
in both C and N isotope signatures. 
Benthic Predators with 15N values >10 
(blacktail wrasse) may be feeding 2.5 
to 3.0 trophic levels above the primary 
producers. The Benthic Predators with 
the most enriched 13C values were the 
whitesaddle goatﬁsh and the Hawaiian 
hogﬁsh, 
The 13C values of ﬁsh designated as Pelagic Predators were relatively depleted in 13C, suggesting that phyto­
plankton did contribute substantially to the food webs supporting these ﬁ sh. The 15N values of Pelagic Preda­
tors averaged 9.3‰, which is very similar to the average trophic level of the Benthic Predator group, and"
In what ways do the feeding strategies of Corallivores and Pelagic Predators differ based on their isotopic signatures?,"The feeding strategies of Corallivores and Pelagic Predators differ in their isotopic signatures in that Corallivores have a more enriched carbon (C) isotope signature, indicating a greater contribution of coral and benthic algae to their food web. In contrast, Pelagic Predators exhibit relatively depleted carbon (C) values, suggesting that phytoplankton contributes substantially to their food webs. Additionally, the nitrogen (N) isotope values of Pelagic Predators average 9.3‰, which is similar to the average trophic level of Benthic Predators, while Benthic Predators with higher nitrogen values may be feeding at higher trophic levels compared to the primary producers.","a signiﬁcant portion of benthic produc­
tion was also utilized by this group. In 
contrast, the Corallivore had a more en­
riched C isotope signature, consistent 
with a greater contribution of coral and 
benthic algae to its food web. 
Fish designated as Benthic Predators 
exhibited approximately a 3‰ range 
in both C and N isotope signatures. 
Benthic Predators with 15N values >10 
(blacktail wrasse) may be feeding 2.5 
to 3.0 trophic levels above the primary 
producers. The Benthic Predators with 
the most enriched 13C values were the 
whitesaddle goatﬁsh and the Hawaiian 
hogﬁsh, 
The 13C values of ﬁsh designated as Pelagic Predators were relatively depleted in 13C, suggesting that phyto­
plankton did contribute substantially to the food webs supporting these ﬁ sh. The 15N values of Pelagic Preda­
tors averaged 9.3‰, which is very similar to the average trophic level of the Benthic Predator group, and"
